title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Jefe/a Comercial - Santiago Centro,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-04,6119964,salcobrand,2026-09-06,2026-09-06,0.4158,Supervisor,Jornada Completa,Salcobrand,Universitaria,Chile,1 años,2026-08-09,https://salcobrand.trabajando.cl/trabajo-empleo/jefe-a-comercial-santiago-centro/trabajo/6119964,¡Queremos que seas parte de Salcobrand!...,"¡Queremos que seas parte de Salcobrand! Buscamos a un/a Jefe/a Comercial para liderar desafíos y marcar la diferencia. Si te motiva trabajar en una cultura innovadora, diversa y centrada en las personas, este es tu lugar. Aquí, tu liderazgo y visión estratégica serán clave para generar una experiencia de valor para nuestros clientes.
¿Qué tendrás que hacer en el cargo?
Liderar y administrar al equipo de colaboradores y procesos de la sala de venta en todo lo relacionado a consumo masivo para garantizar las metas comerciales, el estándar y experiencia del local y clientes.
Principales funciones:
Administrar y asegurar la gestión de precios de la sala y marca precios, con sus respectivas campañas y ofertas asociadas.
Planificar y supervisar la labor de los colaboradores a cargo.
Conocer y realizar la operatoria, informática y de caja.
Gestionar y controlar dotaciones internas y externas.
En Salcobrand nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015.
Únete a nuestro equipo y lidera un espacio clave en la salud y bienestar de nuestros clientes.",1,"Principales funciones:
Administrar y asegurar la gestión de precios de la sala y marca precios, con sus respectivas campañas y ofertas asociadas.
Planificar y supervisar la labor de los colaboradores a cargo.
Conocer y realizar la operatoria, informática y de caja.
Gestionar y controlar dotaciones internas y externas."
Bodegueros/as Full Time Cyber - Preunic Santiago Centro,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-04,6121383,salcobrand,2026-09-06,2026-09-06,0.3413,Operario,Jornada Completa,Preunic,Media,Chile,,2026-11-09,https://salcobrand.trabajando.cl/trabajo-empleo/bodegueros-as-full-time-cyber-preunic-santiago-centro/trabajo/6121383,En Empresas SB Preunic nos encontramos...,"En Empresas SB Preunic nos encontramos en búsqueda de Bodegueros/as para trabajar en el Cyber Septiembre/Octubre 2026 nuestra sucursal de Preunic Santiago Centro.
La misión de este cargo será encargarse del orden, mantención y reposición de la sala y bodega de la tienda; con el fin de facilitar la labor de ventas al mantener el stock de productos en sala y cuidar de la seguridad de los clientes al interior del local. Debes contar con disponibilidad para trabajar plazo 14 días (a partir del 28/09 de septiembre hasta el 11 de Octubre) en jornada Full Time: 42 horas a la semana.
En Empresas SB nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015, ¡No te pierdas la oportunidad de postular y ser parte de nuestra organización!",1,"Disponibilidad de Trabajar plazo fijo 14 días Full-Time (42 hrs), en turnos rotativos 5x2 y 6x1 de Lunes a Domingo.
Fecha de inicio: 28 de Septiembre.
Cumplir con la mayoría de edad."
Bodegueros/as Full Time Cyber - Preunic Viña Del Mar,Otra Área,"Viña del Mar, Valparaíso",Viña del Mar,Valparaíso,2026-09-03,6121248,salcobrand,2026-09-06,2026-09-06,0.4117,Operario,Jornada Completa,Preunic,Media,Chile,,2026-10-09,https://salcobrand.trabajando.cl/trabajo-empleo/bodegueros-as-full-time-cyber-preunic-vina-del-mar/trabajo/6121248,En Empresas SB Preunic nos encontramos...,"En Empresas SB Preunic nos encontramos en búsqueda de Bodegueros/as para trabajar en el Cyber Septiembre/Octubre 2026 nuestra sucursal de Preunic Viña Del Mar.
La misión de este cargo será encargarse del orden, mantención y reposición de la sala y bodega de la tienda; con el fin de facilitar la labor de ventas al mantener el stock de productos en sala y cuidar de la seguridad de los clientes al interior del local. Debes contar con disponibilidad para trabajar plazo 14 días (a partir del 28/09 de septiembre hasta el 11 de Octubre) en jornada Full Time: 42 horas a la semana.
En Empresas SB nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015, ¡No te pierdas la oportunidad de postular y ser parte de nuestra organización!",1,"Disponibilidad de Trabajar plazo fijo 14 días Full-Time (42 hrs), en turnos rotativos 5x2 y 6x1 de Lunes a Domingo.
Fecha de inicio: 28 de Septiembre.
Cumplir con la mayoría de edad."
Consultor/a Atracción del Talento - Plan Navidad,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-03,6120845,salcobrand,2026-09-06,2026-09-06,0.4325,Analista,Mixta (Teletrabajo + Presencial),Empresas SB,Universitaria,Chile,,2026-10-09,https://salcobrand.trabajando.cl/trabajo-empleo/consultor-a-atraccion-del-talento-plan-navidad/trabajo/6120845,¿Estás titulado/a de Psicología y en...,"¿Estás titulado/a de Psicología y en búsqueda de tu próximo desafío? 😎
¡En Empresas SB (Preunic, Salcobrand y Filiales) te queremos para nuestro equipo de Atracción del Talento Plan Navidad! 🎅🎄🤶
Si tienes ganas de aprender y disponibilidad para trabajar en un proyecto de 3 meses (con posibilidad de extensión) realizando el proceso de Atracción y Selección del Talento, ¡Esta oportunidad es para ti!
¿Cuál será tu misión?
Ser responsable del proceso completo de atracción del talento, cumpliendo con los requerimientos de los clientes, contribuyendo a la toma de decisiones sin sesgos y asegurar el ingreso de candidatos idóneos a los cargos solicitados, velando por entregar la mejor experiencia a nuestros clientes y postulantes.
Principales funciones:
Publicar ofertas laborales y filtrar CVs (revisar requisitos de ingreso según las políticas de la empresa).
Realizar entrevistas por competencias (individuales y grupales).
Enviar y analizar pruebas psicolaborales.
Asesorar a clientes internos de distintos niveles jerárquicos de la organización.
Coordinar los ingreso de los/as nuevos colaboradores a la organización.
Solicitar y entregar toda la documentación necesaria para el proceso de contratación.
En Empresas SB, valoramos y promovemos la diversidad en nuestros equipos de trabajo, creando ambientes inclusivos, donde cada persona aporta con su sello único. Únete a nosotros y forma parte de una organización comprometida con el desarrollo profesional y personal de sus colaboradores, en conformidad con la Ley 21.015.
¡Postula ahora y únete a nuestro equipo donde cada día es una oportunidad para crecer y destacar!",4,"¿Qué necesitamos de ti?
Título de Psicología (excluyente).
Al menos 6 meses de experiencia en Reclutamiento y Selección.
Disponibilidad para trabajar en modalidad híbrida (presencial y remoto) en Santiago Centro (excluyente)."
Asistente Administrativo/a - Plan Navidad,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-03,6120846,salcobrand,2026-09-06,2026-09-06,0.4094,Asistente,Mixta (Teletrabajo + Presencial),Empresas SB,Técnico profesional superior,Chile,1 años,2026-10-09,https://salcobrand.trabajando.cl/trabajo-empleo/asistente-administrativo-a-plan-navidad/trabajo/6120846,¿Estás en búsqueda de tu próximo desafío?...,"¿Estás en búsqueda de tu próximo desafío? 😎
¡En Empresas SB (Preunic, Salcobrand y Filiales) te queremos para nuestro equipo como Asistente Administrativo/a Plan Navidad! 🎅🎄🤶.
Si tienes ganas de aprender y disponibilidad para trabajar en un proyecto de 3 meses (con posibilidad de extensión) realizando funciones administrativas en el área de Atracción del Talento, ¡Esta oportunidad es para ti!
Tus principales funciones serán apoyar en tareas administrativas al equipo de Atracción de Talento: gestionar fichas, credenciales, entregar uniformes, entre otras.
En Empresas SB, valoramos y promovemos la diversidad en nuestros equipos de trabajo, creando ambientes inclusivos, donde cada persona aporta con su sello único. Únete a nosotros y forma parte de una organización comprometida con el desarrollo profesional y personal de sus colaboradores, en conformidad con la Ley 21.015.
¡Postula ahora y únete a nuestro equipo donde cada día es una oportunidad para crecer y destacar!",1,"Título de carrera técnica.
Al menos un año de experiencia en funciones administrativas.
Disponibilidad para trabajar en modalidad híbrida (presencial y remoto) en Santiago Centro (excluyente)."
Analista de Ciberseguridad y Protección de Datos,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-03,6120928,salcobrand,2026-09-06,2026-09-06,0.4289,Analista,Mixta (Teletrabajo + Presencial),Empresas SB,Universitaria,Chile,1 años,2026-10-09,https://salcobrand.trabajando.cl/trabajo-empleo/analista-de-ciberseguridad-y-proteccion-de-datos/trabajo/6120928,"Si te gustan los desafíos, eres una...","Si te gustan los desafíos, eres una persona proactiva, autónoma, con altos niveles de organización, trabajas colaborativamente y sientes que eres capaz de promover un excelente clima laboral con los más altos estándares de calidad y excelencia, ¡Empresas SB es el lugar indicado para ti!
Nos encontramos en búsqueda de profesional para el cargo de Analista de Ciberseguridad y Protección de Datos.
¿Cuál será tu desafío en este cargo?
Planificar y ejecutar el análisis de vulnerabilidades de toda la infraestructura tecnológica de Empresas SB, detectando de forma proactiva brechas de seguridad de la información y ciberseguridad.
¿Qué harás en tu día a día?
Evaluar y gestionar los requerimientos de hacking ético y los procesos de recertificación.
Gestionar la ejecución de actividades de análisis de vulnerabilidades y la entrega de informes a las distintas áreas técnicas responsables.
Identificar, evaluar y clasificar las vulnerabilidades que afecten la infraestructura tecnológica de Empresas SB.
Atender incidentes de nivel 1 y 2, evaluando, clasificando, registrando y escalando incidentes relacionados con correos maliciosos, ataques de phishing, ingeniería social, amenazas internas (insider) u otros vectores de ataque.
Ejecutar actividades de análisis mediante metodologías OSINT.
En Empresas SB nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015, ¡Súmate y sé parte de nuestra organización!",1,"Título de Ing. en Informática, Ciberseguridad o carrera afín.
Desde 1 año de experiencia en procesos de hacking ético y desarrollo seguro.
Especializaciones en seguridad de la información, ciberseguridad y gestión de incidentes (diplomados, cursos o certificaciones).
Manejo de herramientas de análisis de vulnerabilidades (Nessus o similares) y de suite Kali Linux.
Conocimiento de marcos como ISO 27001, NIST CSF, COBIT o CIS Control."
Dermoconsejero/a Multifunción - Las Condes (Licencia prolongada),Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-03,6120956,salcobrand,2026-09-06,2026-09-06,0.2883,Vendedor,Jornada Completa,Salcobrand,Media,Chile,,2026-09-13,https://salcobrand.trabajando.cl/trabajo-empleo/dermoconsejero-a-multifuncion-las-condes-licencia-prolongada/trabajo/6120956,"Si el cuidado de la piel es tu pasión,...","Si el cuidado de la piel es tu pasión, aconsejar u orientar a quienes te rodean es parte de tu día a día y además estás actualizado/a con la diversidad de productos acordes a los tipos de piel ¡Salcobrand es el lugar indicado para ti 💙 !
Como dermoconsejera/o queremos que puedas guiar y aconsejar a nuestros/as cliente/s sobre productos de skincare, tipos de piel y/o cuidado personal, velando siempre por la estética del espacio de trabajo y potenciando las grandes marcas dermocosméticas con las que trabajamos.
En Salcobrand nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015, ¡Súmate y sé parte de nuestra organización!",1,"¿Qué necesitas para postular?
Tener algún estudio, curso o capacitación en el área de cosmetología y/o estética
Tener experiencia en ventas y atención al cliente
Te acomodan los turnos rotativos."
Dermoconsejero/a Multifunción - San Antonio (Licencia prolongada),Otra Área,"San Antonio, Valparaíso",San Antonio,Valparaíso,2026-09-03,6120959,salcobrand,2026-09-06,2026-09-06,0.2802,Vendedor,Jornada Completa,Salcobrand,Media,Chile,,2026-09-13,https://salcobrand.trabajando.cl/trabajo-empleo/dermoconsejero-a-multifuncion-san-antonio-licencia-prolongada/trabajo/6120959,"Si el cuidado de la piel es tu pasión,...","Si el cuidado de la piel es tu pasión, aconsejar u orientar a quienes te rodean es parte de tu día a día y además estás actualizado/a con la diversidad de productos acordes a los tipos de piel ¡Salcobrand es el lugar indicado para ti 💙 !
Como dermoconsejera/o queremos que puedas guiar y aconsejar a nuestros/as cliente/s sobre productos de skincare, tipos de piel y/o cuidado personal, velando siempre por la estética del espacio de trabajo y potenciando las grandes marcas dermocosméticas con las que trabajamos.
En Salcobrand nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015, ¡Súmate y sé parte de nuestra organización!",1,"¿Qué necesitas para postular?
Tener algún estudio, curso o capacitación en el área de cosmetología y/o estética
Tener experiencia en ventas y atención al cliente
Te acomodan los turnos rotativos."
Jefe de Diseño de Experiencia de Clientes,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-03,6120940,salcobrand,2026-09-06,2026-09-06,0.3567,Supervisor,Mixta (Teletrabajo + Presencial),Salcobrand,Técnico profesional superior,Chile,2 años,2026-09-13,https://salcobrand.trabajando.cl/trabajo-empleo/jefe-de-diseno-de-experiencia-de-clientes/trabajo/6120940,En Salcobrand nos encontramos en la...,"En Salcobrand nos encontramos en la búsqueda de nuestro/a próximo/a Jefe de Diseño de Experiencia de Clientes para sumarse a la Gerencia de Marketing, Estrategia Clientes y Comunicaciones. Tu desafío principal será liderar la estrategia integral de Experiencia de Clientes y los programas de Voz del Cliente (VoC) en todos nuestros canales de contacto, traduciendo datos en planes de acción operativos que maximicen la satisfacción y el valor del negocio.
🎯 Propósito del cargoPlanificar, implementar y supervisar la estrategia de Experiencia de Clientes en todos los puntos de contacto de Salcobrand, articulando acciones con áreas operativas, comerciales y logísticas para resolver fricciones y elevar el estándar de servicio.
📌 Principales funcionesCustomer Journey Mapping: Mapear y actualizar continuamente los viajes del cliente (Customer Journey Maps) identificando puntos de dolor, fricciones y momentos clave en canales presenciales y remotos.
Gestión de Voz del Cliente (VoC): Administrar programas de medición de experiencia (NPS, verbatims, encuestas adhoc) e integrar la información en reportes ejecutivos y tableros de gestión.
Close the Loop: Diseñar e implementar iniciativas de recuperación de clientes detractores y seguimiento a casos críticos junto a las áreas operativas y comerciales.
Articulación Interáreas: Liderar mesas de trabajo con Operaciones, Comercial, TI y Logística para resolver fallas de procesos y sistémicas en la atención al cliente.
Cultura Centrada en el Cliente: Promover programas de formación alineados a las Promesas Salcobrand para colaboradores en locales y áreas de soporte.
En Salcobrand fomentamos e impulsamos el valor de equipos de trabajo diversos, aceptando el sello propio de cada persona y facilitando ambientes laborales inclusivos bajo la Ley 21.015. ¡Te invitamos a ser parte de nuestra organización!",1,"🎓 Requisitos del perfilTítulo profesional universitario de Ingeniería Comercial, Ingeniería Civil, Administración de Servicios o Administración de Empresas (Excluyente).
Entre 3 y 5 años de experiencia liderando áreas o proyectos de Experiencia de Cliente (CX) o Experiencia de Servicios en retail, salud, e-commerce o industrias de servicio.
Conocimientos sólidos en metodologías CX (Design Thinking, Journey Mapping, Agile), herramientas de medición VoC y análisis de datos (deseable Power BI / SQL básico-intermedio)."
Bodegueros/as Full Time Cyber - Preunic Mall Plaza Vespucio,Otra Área,"La Florida, Metropolitana de Santiago",La Florida,Metropolitana de Santiago,2026-09-03,6121254,salcobrand,2026-09-06,2026-09-06,0.3786,Operario,Jornada Completa,Preunic,Media,Chile,,2026-10-09,https://salcobrand.trabajando.cl/trabajo-empleo/bodegueros-as-full-time-cyber-preunic-mall-plaza-vespucio/trabajo/6121254,En Empresas SB Preunic nos encontramos...,"En Empresas SB Preunic nos encontramos en búsqueda de Bodegueros/as para trabajar en el Cyber Septiembre/Octubre 2026 nuestra sucursal de Preunic Mall Plaza Vespucio.
La misión de este cargo será encargarse del orden, mantención y reposición de la sala y bodega de la tienda; con el fin de facilitar la labor de ventas al mantener el stock de productos en sala y cuidar de la seguridad de los clientes al interior del local. Debes contar con disponibilidad para trabajar plazo 14 días (a partir del 28/09 de septiembre hasta el 11 de Octubre) en jornada Full Time: 42 horas a la semana.
En Empresas SB nos caracterizamos por ser una empresa que fomenta e impulsa el valor de equipos de trabajos diversos, aceptando el sello propio de cada persona, facilitando así ambientes laborales inclusivos, según la Ley 21.015, ¡No te pierdas la oportunidad de postular y ser parte de nuestra organización!",1,"Disponibilidad de Trabajar plazo fijo 14 días Full-Time (42 hrs), en turnos rotativos 5x2 y 6x1 de Lunes a Domingo.
Fecha de inicio: 28 de Septiembre.
Cumplir con la mayoría de edad."
