title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Category Manager Textil - Colina (Híbrido),Otra Área,"Colina, Metropolitana de Santiago",Colina,Metropolitana de Santiago,2026-07-20,6099138,rosen,2026-07-17,2026-07-20,0.4316,Analista,Mixta (Teletrabajo + Presencial),Colchones Rosen SAIC,Universitaria,Chile,1 años,2026-05-09,https://rosen.trabajando.cl/trabajo-empleo/category-manager-textil-colina-hibrido/trabajo/6099138,"📢¡Si te gusta la decoración, el mundo...","📢¡Si te gusta la decoración, el mundo del descanso familiar, Rosen es para ti!  Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2025. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
🙌 En Rosen creemos en el valor de las personas y en la riqueza de equipos diversos. Por eso, promovemos procesos de selección inclusivos y si necesitas algún ajuste para participar en el proceso, puedes indicarlo en tu postulación. Esta vacante se enmarca en nuestro compromiso con la inclusión laboral y la Ley 21.015.
Actualmente nos encontramos en búsqueda de un/a Category Manager a trabajar para nuestra Gerencia de Productos en Modalidad Híbrida, en nuestras oficinas ubicadas en la comuna de Colina, Región Metropolitana.
🔍¿Cuál es la misión de este rol? Analizar y supervisar las ventas de los productos y su comportamiento en el mercado para los usuarios finales. Adicionalmente, apoyar en el seguimiento del desarrollo de las colecciones de textil.
💡¿Qué harás en este cargo?
Analizar y monitorear mapas de precios v/s ventas de productos de la línea textil, identificando el margen de contribución, con el fin de aportar información clave en la toma de decisiones y en la estrategia de comercialización de Rosen.
Emitir informes periódicos de ventas, con el fin de analizar el performance de cada familia de productos.
Participar en el desarrollo de productos nuevos y llevar el correcto seguimiento de las Gantt asociadas, además de generar y actualizar la planilla de BBDD de productos por cada colección.
Otros requerimientos propios del cargo.
📌¿Cuáles son los requisitos para rol?
Titulado/a en Ingeniería Comercial o carrera afín.
1 a 2 años de experiencia en cargos similares ideal interés en rubro Retail.
Conocimiento en Excel nivel intermedio.
Deseable manejo de ingles, oral y escrito.
Disponibilidad para trabajar en modalidad híbrida en Colina (4 días presencial, contamos con estacionamiento y buses de acercamiento).
Beneficios de nuestro team Rosen 🎁:
Jornada laboral de 40 horas.
Bono de vacaciones 🏝
Aguinaldos.
30% de descuentos en Productos Rosen.
Seguro Complementario de Salud (desde contrato indefinido).
Día Libre de Cumpleaños 🎈
Regalos Corporativos 🎁
Casino corporativo 🍝 y Buses de acercamiento.
¡Entre muchos otros!
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad!🌱🙌",1,"Titulado/a en Ingeniería Comercial o carrera afín.
1 a 2 años de experiencia en cargos similares ideal interés en rubro Retail.
Conocimiento en Excel nivel intermedio.
Deseable manejo de ingles, oral y escrito.
Disponibilidad para trabajar en modalidad híbrida en Colina (4 días presencial, contamos con estacionamiento y buses de acercamiento)."
Category Manager - Ventas Mayoristas,Otra Área,"Colina, Metropolitana de Santiago",Colina,Metropolitana de Santiago,2026-07-20,6101502,rosen,2026-07-17,2026-07-20,0.4294,Analista,Mixta (Teletrabajo + Presencial),Colchones Rosen SAIC,Universitaria,Chile,1 años,2026-11-09,https://rosen.trabajando.cl/trabajo-empleo/category-manager-ventas-mayoristas/trabajo/6101502,"📢¡Si te gusta la decoración, el mundo...","📢¡Si te gusta la decoración, el mundo del descanso familiar, Rosen es para ti!  Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2025. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
🙌 En Rosen creemos en el valor de las personas y en la riqueza de equipos diversos. Por eso, promovemos procesos de selección inclusivos y si necesitas algún ajuste para participar en el proceso, puedes indicarlo en tu postulación. Esta vacante se enmarca en nuestro compromiso con la inclusión laboral y la Ley 21.015.
Actualmente nos encontramos en búsqueda de un/a Category Manager a trabajar para nuestra Gerencia de Ventas Mayoristas en Modalidad Híbrida, en nuestras oficinas ubicadas en la comuna de Colina, Región Metropolitana.
🔍¿Cuál es la misión de este cargo?: Asistir al equipo de en los procesos de análisis y control de gestión de la cartera de clientes Mayoristas, con el objetivo de contribuir al cumplimiento de los planes y metas comerciales del área.
💡¿Qué harás en este cargo?
Realizar la carga de información de ventas (B2B) de los clientes Mayoristas asignados que cuenten con Sellout, para mantener actualizado los datos de venta dentro de la empresa. Adicionalmente, efectuar la carga de precios en sistema SAP, con la finalidad de asegurar la paridad de éstos en el sistema del cliente Mayorista y Rosen.
Elaborar códigos y fichas comerciales de la gama de productos Rosen, para mantener alineados a la cartera de clientes mayoristas en lo que refiere al mix de productos.
Apoyar en la elaboración de las proyecciones de venta de las distintas líneas de negocio (Colchones, Tapizados, Muebles y Textiles), con el propósito de alinear la producción a las futuras ventas. Adicionalmente, analizar el comportamiento de la venta, para nutrir de información a las Gerencias solicitantes y ayudar en la toma de decisiones estratégicas de negocio.
📌¿Cuáles son los requisitos para rol?
Titulado/a en Ingeniería Comercial o carrera afín.
1 a 2 años de experiencia en cargos similares ideal interés en rubro.
Conocimiento en Excel nivel intermedio.
📌Jornada laboral: Lunes a jueves presencial de 8:00 a 16:30 hrs, viernes teletrabajo.
Beneficios de nuestro team Rosen 🎁:
Jornada laboral de 40 horas.
Bono de vacaciones 🏝
Aguinaldos.
30% de descuentos en Productos Rosen.
Seguro Complementario de Salud (desde contrato indefinido).
Día Libre de Cumpleaños 🎈
Regalos Corporativos 🎁
Casino corporativo 🍝 y Buses de acercamiento.
¡Entre muchos otros!
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad!🌱🙌",1,"Titulado/a en Ingeniería Comercial o carrera afín.
1 a 2 años de experiencia en cargos similares ideal interés en rubro.
Conocimiento en Excel nivel intermedio."
Bodeguero de Tienda - Mall Paseo La Portada ,Otra Área,"Antofagasta, Antofagasta",Antofagasta,Antofagasta,2026-07-15,6102250,rosen,2026-07-17,2026-07-20,0.3576,Operario,Jornada Completa,Colchones Rosen SAIC,Media,Chile,1 años,2026-09-13,https://rosen.trabajando.cl/trabajo-empleo/bodeguero-de-tienda-mall-paseo-la-portada/trabajo/6102250,"📍¡Si te gusta la decoración, el mundo...","📍¡Si te gusta la decoración, el mundo del descanso familiar, Rosen es para ti!
Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2024. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
Actualmente nos encontramos en búsqueda de un Bodeguero de Tienda para nuestra nueva tienda Rosen en Mall Paseo La Portada, ubicado en la ciudad de Antofagasta.
🔍¿Cuál es la misión de este rol? Manejar los productos recibidos en tiendas, por medio de su reposición y movimiento al interior del punto de venta. Adicionalmente, colaborar en los procesos de inventario, para mantener la disponibilidad de productos ofertados.
💡¿Qué harás en este cargo?
Recepcionar y almacenar productos en bodega para mantener su disponibilidad al interior de la tienda. Adicionalmente, velar por la distribución de productos, para asegurar un uso del espacio de físico de acuerdo con los lineamientos visuales de la marca.
Contribuir al proceso de inventario de productos, con el fin de atender a requerimientos de mercadería (stock vendido o no vendido, despachados y artículos de baja u otros), logrando asistir en el flujo de las operaciones de venta.
Realizar el armado e instalación de muebles para su exhibición en tienda.
Ejecutar las actividades de reposición de productos en góndolas, con el objetivo de mantener su disponibilidad para la venta.
Otros requerimientos propios del cargo y tienda asignada, como atención a clientes y apoyo en ventas.
📌¿Cuáles son los requisitos para rol?
Experiencia mínima de 1 año desempeñando funciones similares, en tiendas y/o bodegas de Retail.
Disponibilidad para trabajar en una jornada de 40 horas semanales distribuidas 5x2 dentro de la semana.
Experiencia en atención de clientes.
Beneficios 🎁:
Bono de vacaciones 🏝
Aguinaldos.
Seguro Complementario de Salud (desde contrato indefinido).
Día Libre de Cumpleaños 🎈
Regalos Corporativos 🎁
Ticket de almuerzo 🍝
¡Entre muchos otros! 🤗
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad!🌱🙌",1,"Experiencia mínima de 1 año desempeñando funciones similares, en tiendas y/o bodegas de Retail.
Disponibilidad para trabajar en una jornada de 40 horas semanales distribuidas 5x2 dentro de la semana.
Experiencia en atención de clientes."
Supervisor Mecánico en terreno Remanufactura - Glover (Pillanlelbún),Otra Área,"Lautaro, La Araucanía",Lautaro,La Araucanía,2026-07-09,6100188,rosen,2026-07-17,2026-07-20,0.3008,Jefe Área/Sección/Depto./Local,Jornada Completa,Colchones Rosen SAIC,Técnico medio/ colegio técnico,Chile,4 años,2026-08-08,https://rosen.trabajando.cl/trabajo-empleo/supervisor-mecanico-en-terreno-remanufactura-glover-pillanlelbun/trabajo/6100188,Empresa del rubro de la mueblería se...,"Empresa del rubro de la mueblería se encuentra en búsqueda de Supervisor Mecánico en terreno para nuestra planta ubicada en Pillanlelbun. Modalidad presencial, lunes a viernes (turnos rotativos día y noche), 40 hrs semanales de nuestra Gerencia de Producción.
¿Cuál es la misión de este rol? Liderar en terreno las labores del equipo de trabajo, ejecutando, supervisando y controlando las actividades de mantenimiento correctivo y preventivo, así como diseñando programas de mantenimiento para maquinarias y equipos estratégicos de producción, con el objetivo de velar por su correcto funcionamiento y contribuir a una gestión eficiente de los activos, a través de una mantención planificada, preventiva y predictiva.
¿Qué harás en este cargo?
Ejecutar mantenimiento preventivo y correctivo de la maquinaria, asegurando su correcto funcionamiento y continuidad operativa.
Atender emergencias y fallas no planificadas que puedan afectar la producción.
Diagnosticar fallas, realizar reparaciones oportunas y elaborar presupuestos asociados.
Gestionar repuestos, insumos y apoyo en cotización de materiales necesarios para mantenciones.
Instalar y poner en marcha nuevos equipos, asegurando su óptimo funcionamiento.
Capacitar a usuarios en el uso adecuado de la maquinaria y elaborar guías de operación.
Elaborar y mantener actualizados reportes y documentación de mantenimiento, cumpliendo procedimientos internos y normativa vigente.
Realizar otras funciones propias del cargo.
¿Cuáles son los requisitos para rol?
Profesión: Técnico Nivel Medio o Superior en Mecánica Industrial.
Experiencia: Al menos 4 años de experiencia laboral relacionada al cargo, idealmente en procesos de Remanufactura de Madera.
Disponibilidad: Disponibilidad para trabajar en turnos rotativos día y noche de lunes a viernes.
Deseable: Conocimientos sobre mecánica, neumática, hidráulica y lubricación industrial, montaje y desmontaje de rodamientos, análisis vibracional de rodamientos. Experiencia en programas de mantención preventiva y correctiva de maquinaria industrial. Conocimiento en prevención de riesgos laborales.
Beneficios:
Horario laboral de 40 horas.
Bono de vacaciones.
Aguinaldos.
Seguro Complementario de Salud (desde contrato indefinido).
Casino corporativo.
¡Entre muchos otros!",1,"¿Cuáles son los requisitos para rol?
Profesión: Técnico Nivel Medio o Superior en Mecánica Industrial.
Experiencia: Al menos 4 años de experiencia laboral relacionada al cargo, idealmente en procesos de Remanufactura de Madera.
Disponibilidad: Disponibilidad para trabajar en turnos rotativos día y noche de lunes a viernes.
Deseable: Conocimientos sobre mecánica, neumática, hidráulica y lubricación industrial, montaje y desmontaje de rodamientos, análisis vibracional de rodamientos. Experiencia en programas de mantención preventiva y correctiva de maquinaria industrial. Conocimiento en prevención de riesgos laborales."
Operario de Bodega - Colina ,Otra Área,"Colina, Metropolitana de Santiago",Colina,Metropolitana de Santiago,2026-07-08,6099783,rosen,2026-07-17,2026-07-20,0.3449,Operario,Jornada Completa,Colchones Rosen SAIC,Media,Chile,1 años,2026-07-08,https://rosen.trabajando.cl/trabajo-empleo/operario-de-bodega-colina/trabajo/6099783,📢 Si te gusta la decoración y el mundo...,"📢 Si te gusta la decoración y el mundo del descanso familiar, ¡Rosen es para ti!  🚀
Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2024. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
Actualmente nos encontramos en búsqueda de un Operario de Bodega, para nuestro Centro de Distribución en la comuna de Colina, sector Buenaventura, para nuestra Gerencia de Logística.
🔍¿Cuál es la misión de este rol?: Realizar la recepción, distribución y el almacenamiento de los productos en bodega de forma lógica para su posterior derivación al cliente, con la finalidad de responder a las solicitudes de su jefatura correspondiente bajo las normas de higiene, seguridad y calidad.
💡¿Qué harás en este cargo?:
Asistir en el ingreso, acopio, toma de inventario y salida de productos. Adicionalmente, manejar de acuerdo a las normas técnicas las herramientas de traslado y acopio de productos, con el objetivo de facilitar el flujo, conteo y almacenamiento de la mercadería al momento del despacho.
Manejar máquinas y herramientas de acuerdo a la normativa vigente y técnicas de uso, para cumplir con la operación diaria.
Responsable de asegurar y velar por el cumplimiento de la estrategia de sustentabilidad y sistema integrado de gestión en la empresa.
Otros requerimientos propios del cargo.
📌¿Cuáles son los requisitos para rol?
Mínimo 1 año de experiencia laboral en cargos operativos.
Experiencia realizando inventarios.
Disponibilidad para trabajar en las siguientes jornadas:
Jornada Laboral: 40 hrs semanales. (Jornada de Turnos)
Lunes a viernes 08:00 a 16:30 hrs.
Lunes a Sábado 08:00 a 16:30 hrs. (con un día libre en la semana)
Lunes a viernes 11:30 a 20:00 hrs.
Beneficios 🎁:
Bono de vacaciones 🏝
Aguinaldos.
Día Libre de Cumpleaños 🎈
Regalos Corporativos 🎁
Casino corporativo 🍝
Buses de acercamiento
¡Entre muchos otros! 🤗
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad! 🌱🙌",1,"Mínimo 1 año de experiencia laboral en cargos operativos.
Experiencia realizando inventarios.
Disponibilidad para trabajar en la comuna de Colina en los horarios comentados."
Analista de Control de Gestión - Colina (Híbrido),Otra Área,"Colina, Metropolitana de Santiago",Colina,Metropolitana de Santiago,2026-07-07,6072186,rosen,2026-07-17,2026-07-19,0.4143,Analista,Mixta (Teletrabajo + Presencial),Colchones Rosen SAIC,Universitaria,Chile,1 años,2026-07-18,https://rosen.trabajando.cl/trabajo-empleo/analista-de-control-de-gestion-colina-hibrido/trabajo/6072186,"📢¡Si te gusta la decoración, el mundo...","📢¡Si te gusta la decoración, el mundo del descanso familiar, Rosen es para ti!  Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2025. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
En Rosen creemos en el valor de las personas y en la riqueza de equipos diversos. Por eso, promovemos procesos de selección inclusivos y si necesitas algún ajuste para participar en el proceso, puedes indicarlo en tu postulación. Esta vacante se enmarca en nuestro compromiso con la inclusión laboral y la Ley 21.015.
Actualmente nos encontramos en búsqueda de un/a Analista de Control de Gestión a trabajar para nuestra Gerencia de Contraloría y Control de Gestión en Modalidad Híbrida, en nuestras oficinas ubicadas en la comuna de Colina, Región Metropolitana.
🔍¿Cuál es la misión de este rol? Responder a las solicitudes y requerimientos de control de gestión de las gerencias y departamentos, a través de la elaboración de informes que permitan una evaluación de aspectos vinculados a su funcionamiento (procesos, costos, gastos, consumos, entre otros) para ayudar en la toma de decisiones estratégicas.
💡¿Qué harás en este cargo?
Elaborar informes de control presupuestario y consolidar proceso de seguimiento de desviaciones, y generar instancias de seguimiento de los gastos y control por áreas de Rosen.
Elaboración de Informes de provisión de Obsolescencia de materias primas, productos terminados, mercadería y Repuestos para las diversas gerencias, departamentos.
Actualizar el modelo de inventario de materias primas, mercaderías y productos terminados de la compañía, a través de software Qlikview, con el propósito de facilitar las gestiones de las diversas áreas involucradas.
Desarrollar mensualmente el estado de resultados del canal Retail por filial y matriz, consolidando la información solicitada y entregando su reporte respectivo, con el objetivo de ayudar en la toma de decisiones estratégicas. Adicionalmente, realizar diariamente reportes de venta para la Gerencia Comercial.
Otros requerimientos propios del cargo.
📌¿Cuáles son los requisitos para rol?
Titulado/a en Ingeniería Civil Industrial.
Hasta 2 años de experiencia laboral previa en cargos vinculados al análisis de datos, manejo de BBDD y desarrollo de reportes de control de gestión.
Disponibilidad para trabajar en modalidad híbrida en Colina.
Beneficios de nuestro team Rosen 🎁:
Jornada laboral de 40 horas.
Bono de vacaciones 🏝
Aguinaldos.
30% de descuentos en Productos Rosen.
Seguro Complementario de Salud (desde contrato indefinido).
Día Libre de Cumpleaños 🎈
Regalos Corporativos 🎁
Casino corporativo 🍝 y Buses de acercamiento.
¡Entre muchos otros!
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad!🌱🙌",1,"Titulado/a en Ingeniería Civil Industrial.
Hasta 2 años de experiencia laboral previa en cargos vinculados al análisis de datos, manejo de BBDD y desarrollo de reportes de control de gestión.
Disponibilidad para trabajar en modalidad híbrida en Colina."
Jefe de unidad - Temuco,Otra Área,"Temuco, La Araucanía",Temuco,La Araucanía,2026-07-06,6098487,rosen,2026-07-17,2026-07-20,0.4057,Supervisor,Jornada Completa,Colchones Rosen SAIC,Universitaria,Chile,3 años,2026-04-09,https://rosen.trabajando.cl/trabajo-empleo/jefe-de-unidad-temuco/trabajo/6098487,"Objetivo General Liderar, supervisar...","Objetivo General
Liderar, supervisar y controlar la operación de la unidad asignada, gestionando los recursos físicos, económicos y humanos para cumplir con las metas de producción en eficiencia, calidad, costos y plazos, bajo un enfoque de mejora continua y clima laboral saludable.
Funciones Principales
Liderazgo de Equipo: Guiar de forma participativa al personal, definir planes de acción y dar retroalimentación constante.
Supervisión Operativa: Asegurar la correcta ejecución de los planes de trabajo de la Unidad.
Control de Gestión (KPIs): Monitorear indicadores como rotación, costos, volumen y rendimiento.
Mejora Continua: Buscar e implementar mejoras constantes en los procesos del cargo.
Soporte: Colaborar en otros requerimientos propios de la naturaleza del cargo.",1,"Requisitos del Cargo: Jefe de Unidad Educación
Formación académica: Profesional titulado de Ingeniería Civil Industrial, Ingeniería en Manufactura o carreras afines.
Experiencia Laboral
Mínimo de 3 años de experiencia laboral desempeñándose en empresas productivas o del rubro de manufactura.
Mínimo 1 año de experiencia liderando equipos.
Conocimientos y Competencias Técnicas
Manejo de Planilla Excel a nivel intermedio.
Experiencia comprobable en gestión y liderazgo de equipos de trabajo."
Operario de Bodega (Licencia clase D) - Colina ,Otra Área,"Colina, Metropolitana de Santiago",Colina,Metropolitana de Santiago,2026-06-26,6095879,rosen,2026-07-17,2026-07-20,0.3618,Operario,Jornada Completa,Colchones Rosen SAIC,Media,Chile,1 años,2026-07-26,https://rosen.trabajando.cl/trabajo-empleo/operario-de-bodega-licencia-clase-d-colina/trabajo/6095879,📢 Si te gusta la decoración y el mundo...,"📢 Si te gusta la decoración y el mundo del descanso familiar, ¡Rosen es para ti!  🚀
Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2024. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
Actualmente nos encontramos en búsqueda de un Operario de Bodega que cuente con licencia clase D, para nuestro Centro de Distribución en la comuna de Colina, sector Buenaventura, para nuestra Gerencia de Logística.
🔍¿Cuál es la misión de este rol?: Realizar la recepción, distribución y el almacenamiento de los productos en bodega de forma lógica para su posterior derivación al cliente, con la finalidad de responder a las solicitudes de su jefatura correspondiente bajo las normas de higiene, seguridad y calidad.
💡¿Qué harás en este cargo?:
Asistir en el ingreso, acopio, toma de inventario y salida de productos. Adicionalmente, manejar de acuerdo a las normas técnicas las herramientas de traslado y acopio de productos, con el objetivo de facilitar el flujo, conteo y almacenamiento de la mercadería al momento del despacho.
Manejar máquinas y herramientas de acuerdo a la normativa vigente y técnicas de uso, para cumplir con la operación diaria.
Responsable de asegurar y velar por el cumplimiento de la estrategia de sustentabilidad y sistema integrado de gestión en la empresa.
Otros requerimientos propios del cargo.
📌¿Cuáles son los requisitos para rol?
Mínimo 1 año de experiencia laboral en cargos operativos.
Experiencia realizando inventarios.
Contar con licencia clase D al día.
Jornada Laboral: 40 hrs semanales. (Jornada de Turnos)
Lunes a viernes 08:00 a 16:30 hrs.
Lunes a Sábado 08:00 a 16:30 hrs. (con un día libre en la semana)
Lunes a viernes 11:30 a 20:00 hrs.
Beneficios 🎁:
Bono de vacaciones 🏝
Aguinaldos.
Día Libre de Cumpleaños 🎈
Regalos Corporativos 🎁
Casino corporativo 🍝
Buses de acercamiento
¡Entre muchos otros! 🤗
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad! 🌱🙌",1,"Mínimo 1 año de experiencia laboral en cargos operativos.
Experiencia realizando inventarios.
Contar con licencia clase D al día.
Disponibilidad para trabajar en la comuna de Colina en los horarios comentados."
Bodeguero de Tienda - Store La Dehesa,Otra Área,"Lo Barnechea, Metropolitana de Santiago",Lo Barnechea,Metropolitana de Santiago,2026-06-26,6095868,rosen,2026-07-17,2026-07-20,0.3888,Operario,Jornada Completa,Colchones Rosen SAIC,Media,Chile,1 años,2026-07-26,https://rosen.trabajando.cl/trabajo-empleo/bodeguero-de-tienda-store-la-dehesa/trabajo/6095868,📢 Si te gusta la decoración y el mundo...,"📢 Si te gusta la decoración y el mundo del descanso familiar, ¡Rosen es para ti!  🚀
Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2024. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
Actualmente estamos en búsqueda de un Bodeguero/Operario de Tienda full time, quien se integrará a nuestra Gerencia de Retail y desempeñará sus funciones en nuestra tienda ubicada en el sector de La Dehesa, comuna de Lo Barnechea, Región Metropolitana.
📌¿Cuál es la misión de este cargo? Manejar los productos recibidos en tiendas, por medio de su reposición y movimiento al interior del punto de venta. Adicionalmente, colaborar en los procesos de inventario, para mantener la disponibilidad de productos ofertados.
📌¿Qué harás en este cargo?
Recepcionar y almacenar productos en bodega para mantener su disponibilidad al interior de la tienda. Adicionalmente, velar por la distribución de productos, para asegurar un uso del espacio de físico de acuerdo con los lineamientos visuales de la marca.
Contribuir al proceso de inventario de productos, con el fin de atender a requerimientos de mercadería (stock vendido o no vendido, despachados y artículos de baja u otros), logrando asistir en el flujo de las operaciones de venta.
Realizar el armado e instalación de muebles para su exhibición en tienda.
📌¿Cuáles son los requisitos para el cargo?
Disponibilidad para trabajar en el sector de La Dehesa.
Experiencia mínima de 1 año desempeñando funciones similares, en tiendas y/o bodegas de Retail.
Disponibilidad para trabajar 40 horas semanales, jornada distribuida de lunes a sábado.
Experiencia en atención de clientes, manejo computacional de office nivel usuario.
📌 Beneficios de nuestro team Rosen:
Horario laboral de 40 horas.
Aprendizaje continuo para tu desarrollo profesional.
Bono de vacaciones.
Aguinaldos.
Descuentos en Productos Rosen.
Seguro Complementario de Salud (desde contrato indefinido).
Día Libre de Cumpleaños.
Regalos Corporativos
Ticket de colación
¡Entre muchos otros! 🤗
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad! 🌱🙌",1,"Disponibilidad para trabajar en el sector de La Dehesa.
Experiencia mínima de 1 año desempeñando funciones similares, en tiendas y/o bodegas de Retail.
Disponibilidad para trabajar 40 horas semanales, jornada distribuida de lunes a sábado.
Experiencia en atención de clientes, manejo computacional de office nivel usuario."
Bodeguero de Tienda part time 20 hrs - Mall Marina,Otra Área,"Viña del Mar, Valparaíso",Viña del Mar,Valparaíso,2026-06-26,6095858,rosen,2026-07-17,2026-07-20,0.3853,Operario,Jornada Completa,Colchones Rosen SAIC,Media,Chile,1 años,2026-07-26,https://rosen.trabajando.cl/trabajo-empleo/bodeguero-de-tienda-part-time-20-hrs-mall-marina/trabajo/6095858,📢 Si te gusta la decoración y el mundo...,"📢 Si te gusta la decoración y el mundo del descanso familiar, ¡Rosen es para ti!  🚀
Estamos buscando nuevos y nuevas RosenLovers que quieran ser parte de una de las mejores empresas para trabajar en Chile, ranking GPTW 2024. Buscamos el ADN Rosen en cada uno de nuestros/as colaboradores/as, potenciando la Excelencia, Integridad, Compromiso e Innovación.
Actualmente estamos en búsqueda de un Operario de Tienda part time 20 hrs, quien se integrará a nuestra Gerencia de Retail y desempeñará sus funciones en nuestra tienda ubicada en Mall Marina, Viña del Mar, Región de Valparaíso.
📌¿Cuál es la misión de este cargo? Manejar los productos recibidos en tiendas, por medio de su reposición y movimiento al interior del punto de venta. Adicionalmente, colaborar en los procesos de inventario, para mantener la disponibilidad de productos ofertados.
📌¿Qué harás en este cargo?
Recepcionar y almacenar productos en bodega para mantener su disponibilidad al interior de la tienda. Adicionalmente, velar por la distribución de productos, para asegurar un uso del espacio de físico de acuerdo con los lineamientos visuales de la marca.
Contribuir al proceso de inventario de productos, con el fin de atender a requerimientos de mercadería (stock vendido o no vendido, despachados y artículos de baja u otros), logrando asistir en el flujo de las operaciones de venta.
Realizar el armado e instalación de muebles para su exhibición en tienda.
📌¿Cuáles son los requisitos para el cargo?
Experiencia mínima de 1 año desempeñando funciones similares, en tiendas y/o bodegas de Retail.
Disponibilidad para trabajar 20 hrs semanales en jornada de turnos durante la semana (Lunes de 10:00 a 18:00 hrs, jueves de 9:00 a 17:00 hrs y viernes de 10:00 a 17:00 hrs)
Ideal experiencia en atención de clientes y manejo computacional de office nivel usuario.
📌 Beneficios de nuestro team Rosen:
Aprendizaje continuo para tu desarrollo profesional.
Bono de vacaciones.
Aguinaldos.
Descuentos en Productos Rosen.
Seguro Complementario de Salud (desde contrato indefinido).
Día Libre de Cumpleaños.
Regalos Corporativos
Ticket de colación
¡Entre muchos otros! 🤗
¡Te invitamos a ser parte de una compañía comprometida con sus colaboradores y la sustentabilidad! 🌱🙌",1,"Experiencia mínima de 1 año desempeñando funciones similares, en tiendas y/o bodegas de Retail.
Disponibilidad para trabajar 20 hrs semanales en jornada de turnos durante la semana.
Ideal experiencia en atención de clientes y manejo computacional de office nivel usuario."
